127.0.0.1 - - [10/Aug/2018:16:46:26 +0530] "GET / HTTP/1.1" 404 1036
127.0.0.1 - - [10/Aug/2018:16:46:28 +0530] "GET /ShopOn/ HTTP/1.1" 200 2517
127.0.0.1 - - [10/Aug/2018:16:46:28 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 200 469
127.0.0.1 - - [10/Aug/2018:16:46:28 +0530] "GET /ShopOn/images/Apple/apple-iphone-5s-ofic.jpg HTTP/1.1" 200 65402
127.0.0.1 - - [10/Aug/2018:16:46:28 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 200 54600
127.0.0.1 - - [10/Aug/2018:16:46:28 +0530] "GET /ShopOn/images/Gionee/gionee-F103.jpg HTTP/1.1" 200 51820
127.0.0.1 - - [10/Aug/2018:16:46:28 +0530] "GET /ShopOn/css/images/cart1.png HTTP/1.1" 404 1063
127.0.0.1 - - [10/Aug/2018:16:51:52 +0530] "GET /ShopOn/ HTTP/1.1" 200 2513
127.0.0.1 - - [10/Aug/2018:16:51:52 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:51:52 +0530] "GET /ShopOn/images/Apple/apple-iphone-5s-ofic.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:51:52 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:51:52 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:51:52 +0530] "GET /ShopOn/images/Gionee/gionee-F103.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:51:52 +0530] "GET /ShopOn/images/Apple/apple-iphone-5s-ofic.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:51:52 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:51:52 +0530] "GET /ShopOn/images/Gionee/gionee-F103.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:51:52 +0530] "GET /ShopOn/css/images/cart1.png HTTP/1.1" 404 1063
127.0.0.1 - - [10/Aug/2018:16:51:53 +0530] "GET /ShopOn/ HTTP/1.1" 200 2513
127.0.0.1 - - [10/Aug/2018:16:51:53 +0530] "GET /ShopOn/css/images/cart1.png HTTP/1.1" 404 1063
127.0.0.1 - - [10/Aug/2018:16:51:53 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:51:53 +0530] "GET /ShopOn/images/Apple/apple-iphone-5s-ofic.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:51:53 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:51:53 +0530] "GET /ShopOn/images/Gionee/gionee-F103.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:51:53 +0530] "GET /ShopOn/css/images/cart1.png HTTP/1.1" 404 1063
127.0.0.1 - - [10/Aug/2018:16:54:41 +0530] "GET /ShopOn/ HTTP/1.1" 200 2542
127.0.0.1 - - [10/Aug/2018:16:54:41 +0530] "GET /ShopOn/css/images/cart1.png HTTP/1.1" 404 1063
127.0.0.1 - - [10/Aug/2018:16:54:41 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 200 501
127.0.0.1 - - [10/Aug/2018:16:54:41 +0530] "GET /ShopOn/images/Apple/apple-iphone-5s-ofic.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:54:41 +0530] "GET /ShopOn/css/images/cart1.png HTTP/1.1" 404 1063
127.0.0.1 - - [10/Aug/2018:16:54:41 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:54:41 +0530] "GET /ShopOn/images/Gionee/gionee-F103.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:55:27 +0530] "GET /ShopOn/ HTTP/1.1" 200 2542
127.0.0.1 - - [10/Aug/2018:16:55:27 +0530] "GET /ShopOn/css/images/cart1.png HTTP/1.1" 404 1063
127.0.0.1 - - [10/Aug/2018:16:55:27 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 200 502
127.0.0.1 - - [10/Aug/2018:16:55:27 +0530] "GET /ShopOn/images/Gionee/gionee-F103.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:55:27 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:55:27 +0530] "GET /images/cart1.png HTTP/1.1" 404 1052
127.0.0.1 - - [10/Aug/2018:16:55:27 +0530] "GET /ShopOn/images/Apple/apple-iphone-5s-ofic.jpg HTTP/1.1" 304 -
